probCode;group;gender;time::task
ATM;1;m;561
BQV;1;m;295
cno;1;m;134
ikx;1;f;237
KQR;1;f;402
LOF;1;f;190
OLCAA;1;f;398
BTM;2;m;226
mdp;2;m;240
RPR;2;m;148
TZX;2;f;124
VND;2;f;182
vtd;2;f;320
DFA;3;m;196
KGF;3;m;243
MCV;3;m;97
KSE;3;f;158
WER;3;f;172
PIO;3;f;232
