probCode;group;time
ATM;1;42.744
BQV;1;60.1
cno;1;30.139
ikx;1;77.047
KQR;1;58.231
LOF;1;48.54
OLCAA;1;38.396
BTM;2;48.438
mdp;2;48.245
RPR;2;26.052
TZX;2;50.436
VND;2;30.077
vtd;2;33.743
